sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05
 Madencilik Ürünleri;BITLIS;40.80826;88.3916;16.47412;9.18;39.68197;82.41;15.56714;5.70748;22.96466;27.27891;22.5243;51.71586;32.40696;35.15885;23.19655;11.35727;50.71456;4.10783;50.88027;17.05719;3.024;27.8929;26.12186;46.59907;27.07;15.62463;36.08901;52.43917;22.41283;18.43711;42.42671;39.13265;35.19555;108.46022;35.87323;46.6282;27.4422;42.53918;60.40191;54.94791;39.47946;26.432;17.885;44.31736;24.74285;35.87323;10.15487;15.84885;0;0;0;0;0;0;0;13.37292;0;0;0;0;0;0;0;0;0
 Makine ve Aksamları;BITLIS;0;0;0.93767;0.075;0.21867;0;0;0;0;0;0;0;0;0;0;0;0;30.98715;24.21249;42.65435;0;0;0;24.92153;0;0;0;6.36;0;0;0;0;23.4542;6.233;0;0;0;0;0;6.601;0;20.66488;4.3;0.92516;0;0;0;0.15;0;0;0;6.05;0;0;0.155;0;0;0;12.06227;0;0;0;0;14.22061;0
 Tekstil ve Hammaddeleri;BITLIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;24.45;0;0;0;7.686;0;0;0;0;0;0;0;2.4;0;0;0;0;0;0;0;0;0;0;42.9;0;13.7122;0;0;0;0;6.37852;0;7.4;7.8;0;4.96;51.16191;6.07027;0;0
 Yaş Meyve ve Sebze  ;BITLIS;0;0;0;0;14.28;30.5683;56.90776;0;9.2;19.92;24.91;8.1155;0;25.3463;0;27.35;21.2;0;0;0;5.05121;0;0;7.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.7;15.90238;0;0;0;0;0;0;0;40.00291;705.47363;134.12804;153.44659;53.56077;0;85.6643;46.7192;0;0;0;16.61231;197.31794;0;0;15.2281;0;15.50959
TOPLAM;BITLIS;876.37757;756.57379;435.69962;1262.13406;449.97883;312.03438;293.52892;262.46864;279.52352;879.74438;158.69591;59.83136;634.52162;151.36931;487.51089;620.30038;478.47579;56.12637;1089.27069;252.58843;38.34521;785.35453;393.08751;187.53508;461.4804;535.04057;405.29947;140.80065;321.65968;223.76414;242.50704;186.53564;236.93639;593.47478;456.29586;370.66916;760.43526;257.89128;444.18181;485.73445;217.55272;1163.53863;465.65434;512.76833;1204.056;456.29586;338.12796;890.7213;1460.82096;981.80432;1098.25544;699.20252;848.94727;1425.56886;903.12768;456.47976;677.21342;247.73444;584.93251;1239.49756;453.88182;951.90501;452.58595;840.65728;446.85627
 Çelik;BOLU;0;0;20.8906;0.66977;0;0;6.20147;0.34719;10.17764;0;0.50639;2.06635;15.97186;29.99949;0;7.70615;1.87893;4.34477;8.79319;13.50442;5.03127;13.90793;1.73473;5.77292;13.26129;10.65087;11.94084;2.0041;3.21663;12.8771;37.68301;21.38882;0.25322;10.1;12.65101;12.99537;2.69394;29.09439;5.40123;32.54368;16.80935;17.21383;21.86327;19.26242;17.74481;12.65101;3.00312;18.77809;17.77207;52.73228;15.44194;28.62846;17.49457;29.59088;20.54769;38.3122;12.53873;31.27088;31.0378;53.34087;11.15234;65.77552;91.14987;55.32096;53.15929
 Çimento Cam Seramik ve Toprak Ürünleri;BOLU;3.74233;0.91695;21.4493;0;0;13.48227;0;0;0.25;5.72751;55.41669;17.53633;12.76756;10.73667;19.87476;12.61754;20.99628;8.35533;14.8782;7.86865;24.34356;8.10111;1.40368;0.04288;0.96756;2.12392;18.42036;16.08117;4.48293;6.33161;6.45055;13.63916;29.18338;0.26896;5.4919;0.25047;6.69246;35.70386;18.78178;9.179;22.84441;8.20025;3.90229;7.67437;1.57269;5.4919;7.46015;4.15095;9.06633;19.12047;4.98079;5.69166;7.3562;26.72048;1.57128;17.20013;6.27615;10.37842;10.0355;15.82166;10.52774;37.45733;11.48489;14.6388;24.21347
 Demir ve Demir Dışı Metaller ;BOLU;554.14813;457.71985;465.72301;614.18681;636.19318;680.30551;630.54111;513.95394;493.27408;621.99355;618.7691;340.97853;459.47155;527.87489;773.85565;527.63382;611.88129;495.84455;636.32932;547.89999;681.1954;461.07088;542.63536;419.1232;429.55095;513.83651;381.55762;290.13579;234.34915;482.24718;639.82287;437.23095;521.43059;461.21705;806.08547;215.28109;440.78377;282.38905;705.29091;687.36402;600.65818;589.74036;753.49021;816.48688;643.22986;806.08547;950.52345;866.37362;812.13029;691.97981;765.98567;997.13698;622.83438;871.02457;611.617;708.56638;765.92749;629.41599;627.72236;590.08043;903.48953;725.64307;872.2328;687.90989;667.62127
 Deri ve Deri Mamulleri ;BOLU;764.9897;798.96595;910.56981;1126.04937;983.68614;350.29867;879.48556;571.3189;831.63319;578.55227;968.42502;442.93169;899.39879;541.57621;805.40355;751.51526;902.6869;395.95715;1033.92192;310.16282;1102.90621;766.13079;1093.88084;251.44177;775.80385;854.65867;318.23829;146.63216;232.18923;439.51015;788.46919;150.84508;548.16956;572.66864;819.40173;342.89462;391.94333;565.33123;1098.73711;1188.4685;660.86545;507.99916;786.51806;460.78131;1082.78463;819.40173;1322.58339;1155.38541;754.57135;725.96078;819.14215;1170.64038;637.0299;946.22274;583.26986;606.37171;1053.39649;378.20523;698.95758;1168.22528;517.55967;948.31057;761.05769;899.12645;656.38545
 Diğer Sanayi Ürünleri;BOLU;0;0.00407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.24729;0;0.16897;0;0;1.40841;5.18684;0;1.42568;0;0;0;0.95853;0.23948;1.93351;2.02297;0;0;0;7.74185;2.05295;0;1.78091;0.24919;0;4.25311;0;0.23615;0;5.03298;0;0;0;0;0;0;0;0.40377;0.53375;0;0.37117
 Halı ;BOLU;0;0;0;0;0;0;0;0;0;0;0.50669;7.35601;0;0;0;0;0;0;0;0;0;0;0;0.49446;0;0;0.01239;2.71357;0;0;0;0;0;0;0;0;0;48.78166;0;0;0;45.59771;41.32262;59.95448;0;0;57.48931;62.6068;0;0.11883;0;0.27434;0.03521;0.38641;0;0;0;0;0;0;0;0;0;0;0
 Hazırgiyim ve Konfeksiyon ;BOLU;70.12727;328.95713;272.19715;254.57939;282.95263;151.23411;219.62418;77.53327;54.1117;118.13757;280.11048;56.39094;207.69397;224.09536;302.67861;248.81833;687.33542;139.0043;295.64975;194.73384;277.86162;205.00142;328.93699;230.1913;47.84454;332.78975;209.00619;0.46455;20.7869;211.98025;567.61875;16.44805;224.73933;140.86185;281.03126;293.76462;1408.88463;1675.13774;1704.76271;2204.42752;175.55291;2830.76373;39.91932;1708.00471;2757.23285;2252.96662;2678.68257;1894.62609;2522.04841;2934.48036;2853.79439;2410.13884;1525.72844;3491.51172;3194.19676;3024.86813;3894.02032;2968.8499;2278.53283;4694.14331;4951.48545;4583.50665;3390.28283;3673.8718;2788.95093
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;BOLU;14.49868;36.34225;1285.21987;65.98129;4.585;5.1945;0.17803;64.13933;225.75241;42.86795;175.57194;352.97658;289.72144;26.15873;94.01604;176.6603;48.74148;44.54882;256.21019;194.23423;418.91876;300.56016;357.19538;150.34265;146.17159;132.60645;57.5088;52.4865;92.35048;129.306;190.83367;229.71923;264.58493;236.50674;200.06959;306.04596;301.35119;330.62383;454.14129;385.10498;148.6678;204.92075;61.99448;192.84265;286.68933;200.06959;334.5612;249.66915;408.02918;360.82968;344.3998;294.01519;140.85613;391.94956;194.39553;345.73845;563.44231;535.01533;592.43115;646.44142;612.72842;1001.01987;569.54753;209.00189;483.69152
 İklimlendirme Sanayii;BOLU;18.35342;23.45509;55.9447;11.38638;16.75915;10.18597;1.3;5.85784;20.72729;32.59252;28.89353;66.35523;2.17005;4.51503;18.10234;9.20835;12.08211;25.30045;10.25495;31.62339;13.86698;41.96344;17.607;55.40999;36.00633;43.77621;40.79891;0;0.21718;0.66527;7.9;2.30718;19.17178;51.56617;13.30486;28.75637;65.96633;16.62139;83.87625;1.74297;4.53298;9.20297;0.13559;5.31583;37.4975;13.30486;39.72375;6.07963;0;44.00674;6.07034;16.48935;3.37343;0;37.46253;22.86306;114.80173;0.364;42.41061;0.54717;6.5889;9.12564;1.44827;1.76836;0
