sector;province;2018-01;2018-12;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2019-06;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2021-05;2020-06;2020-07;2021-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2022-04;2021-06;2022-06;2022-05;2021-08;2022-08;2022-07;2021-09;2021-10;2022-10;2021-11;2022-11;2021-12;2022-12;2022-01;2023-01;2022-02;2023-02;2022-03;2023-03;2023-04;2023-05
 Kimyevi Maddeler ve Mamulleri  ;ADANA;24406.60993;26811.15474;23231.17323;30377.45667;28693.59992;28709.75114;25998.77757;27096.05298;22190.07438;26924.77279;29312.0199;31515.9921;29428.29525;26229.8757;28534.8362;28193.79954;28139.94576;30920.15464;25944.16503;21788.80672;25853.22997;27477.12535;21853.06249;27393.0249;24070.52931;22897.63316;28186.10919;24708.89476;19998.52029;39033.23522;27844.52266;22540.4359;41218.14487;23422.81553;24901.83897;23517.50425;40657.79111;32394.25297;25487.15023;33849.09612;42595.19957;39342.58211;61544.98391;41315.93316;71807.9999;60502.63514;47167.99548;65588.86005;68375.01822;47787.32888;40633.48536;47047.12494;48145.51304;39279.81652;51852.10196;44491.54427;46386.79827;50757.21255;49650.56678;48274.08368;65540.72244;41164.10459;47669.36537;49198.33155
 Kuru Meyve ve Mamulleri  ;ADANA;464.09803;308.99927;379.72217;211.22566;287.16826;418.45691;266.20905;203.45789;152.71538;175.06572;353.59033;363.1403;292.31336;339.30268;429.29475;173.11015;401.51961;274.52771;127.55264;88.15177;328.08443;302.23662;306.58076;411.36884;134.16578;446.71004;170.77262;138.86387;186.50413;247.82798;131.03574;167.82535;106.88344;54.34267;318.49454;199.82911;328.7642;199.369;302.77934;287.19444;274.00802;146.76225;419.27001;193.67312;343.63697;136.41006;109.24306;416.33131;117.34932;536.86141;328.7642;324.20219;445.71465;577.51828;298.24049;469.66783;274.22032;368.7636;404.15263;219.80884;416.20659;419.81307;260.8196;351.46766
 Madencilik Ürünleri;ADANA;3934.60352;1815.80161;2983.62213;8083.3404;748.88745;8234.94891;1566.33586;7922.74023;1151.44713;3038.0894;1148.76289;1604.36419;1745.62387;1212.05459;508.18186;5957.78608;909.05698;2461.70266;895.71788;772.90223;1724.70325;1850.9385;2862.25557;1128.7297;1048.10792;953.96445;1197.04724;1562.71249;819.08669;2123.54686;801.54954;410.47904;270.87931;214.79346;363.0101;557.57468;936.36166;426.6559;456.84698;294.77554;275.32027;433.19071;285.04559;256.55022;2534.15521;1455.08523;276.03486;1285.74551;3447.33257;652.00396;936.36166;1965.1505;1202.12865;1493.98776;848.55296;1097.2454;2058.3314;355.63673;1550.82147;2127.18555;355.21931;568.17747;1414.21082;1357.50497
 Makine ve Aksamları;ADANA;9448.40014;8228.88201;4811.95405;8797.1692;8600.1299;13128.06619;4781.48695;5264.30759;6445.48374;5290.57388;5038.74368;7679.30155;7667.40362;7188.63763;7260.74512;6694.08399;7491.89366;8883.10191;7067.5678;4910.91417;4303.12668;5965.38453;6049.24448;5852.28635;6678.94993;9270.94999;7978.64888;5289.45858;3698.68915;8642.50022;5103.23027;6157.32323;7966.30557;5242.69341;5251.85207;5003.64557;7062.83932;7431.57446;10523.07947;9391.24625;11706.30574;13430.64546;15773.74788;8327.61613;9018.06011;8951.83342;5871.02461;11096.88834;8841.40229;8645.06906;7062.83932;12565.15216;8063.23013;13491.13003;12269.64799;12760.01994;8735.53058;11035.39005;10769.10183;9505.7362;11164.19385;15719.19618;8082.96787;10356.20105
 Meyve Sebze Mamulleri ;ADANA;1203.57925;868.23094;1281.48324;1694.93022;1509.42412;1746.63834;1752.18324;1890.586;803.73993;722.00972;1284.21341;1359.62854;971.89046;1232.53447;1392.71729;1892.52076;2318.8038;1337.10091;1446.28268;986.33393;1235.02561;1763.84237;1676.27817;1309.94007;1694.44604;1814.98976;2104.07672;1478.89677;1063.5842;1868.19766;1937.8171;1802.79962;2730.69299;1744.80953;1844.41442;1310.90916;2167.28024;1767.46228;1614.63001;2476.90632;3085.65203;2429.4493;4469.00895;3334.9189;1783.77474;3878.19668;3954.0878;3872.90415;2337.36636;3211.4992;2167.28024;3373.10528;2456.26912;2899.22463;2088.12599;2851.62978;1931.09676;3883.13863;2383.85653;3049.32901;4112.57553;4667.82601;3433.04738;3436.95733
 Mücevher;ADANA;1.13788;8.66724;56.7286;19.21635;0.39031;20.41207;0.47484;0;0;0;0.13832;0.26232;21.61091;7.37896;0.60669;0.64233;0;12.99356;41.48335;1.64126;61.97778;0.39497;0;10.37451;2.25874;0.74262;0;5.68596;0;0.28157;0.16831;0;1.31637;0.03193;0.16076;0;156.64317;12.79366;0;0.43202;2.62778;4.39349;3.46988;2.75139;0.91171;1.57987;0.35295;2.3077;43.96159;123.2548;156.64317;12.62354;183.45669;24.02336;44.61771;24.42323;3.23795;2.6;124.2138;23.49573;3.61196;54.60866;35.75092;207.07965
 Otomotiv Endüstrisi;ADANA;4124.73031;22063.8413;5124.17578;7471.20658;8993.35112;10426.0724;8137.75227;12109.67149;5843.94788;32801.90499;7424.4279;26804.43565;16393.29032;8492.90021;9661.63871;6973.80873;8707.07112;14130.30668;20486.7118;17174.13051;7945.37518;13391.17797;14622.01112;4709.14346;3321.23223;5001.20143;4174.92801;1982.5453;4450.59607;8029.14732;6566.77755;3398.0763;8689.61775;5104.86296;8346.916;8223.36368;10196.92924;9286.32332;5142.41458;6661.11084;6151.87739;8026.55775;9980.96189;8176.77307;20064.89169;6891.93156;10932.65624;13935.41883;8843.28271;7856.20503;10196.92924;14509.21722;15370.29052;17927.91859;16103.28057;15080.13013;4877.76443;6328.54932;7834.73361;7997.90791;8594.61591;18180.03166;19684.98638;21100.64704
 Su Ürünleri ve Hayvansal Mamuller;ADANA;8854.15025;11016.63897;6857.78725;11773.21635;11488.70627;10288.19209;10256.55782;12240.05804;7564.29443;10990.19368;14710.09798;14017.47105;12752.30755;12369.55729;9682.35791;10429.35267;9932.68275;11727.67814;9819.3536;8216.02809;11556.75368;9685.75065;10192.27591;7225.97599;10616.1691;11836.52312;10666.5428;7348.7189;4680.63015;14115.64437;6253.428;9554.58333;9896.23563;8280.90098;10134.77223;8318.65407;17546.14047;10104.20578;9403.4517;8206.04425;9333.94547;14041.80874;15430.17317;13783.42222;13863.61072;13244.45247;15571.25341;16520.93625;13672.1331;13620.4854;17546.14047;11439.76789;20521.23247;13838.81865;13309.27462;11890.19782;12959.29861;11368.86065;17837.7932;12610.95837;20302.72553;10422.26662;13979.51244;13147.01692
 Tekstil ve Hammaddeleri;ADANA;24453.33437;27294.35801;24621.52265;30809.74945;31244.22709;29999.18283;26205.06874;28779.47473;19677.37107;29403.50416;30159.67683;33862.58384;29961.82913;24098.17713;21681.7758;29911.04515;30964.72428;31315.9963;26582.02588;18404.057;28023.56107;29805.62172;28009.71046;25355.97982;27197.98806;24828.3098;24143.70951;15323.02322;16396.43704;38265.00845;25332.70192;23750.88186;41826.71451;23475.01272;26670.49586;33531.79146;47828.0024;31228.82855;30480.85938;27290.76616;38743.48522;35074.73388;59413.30508;44945.18725;59674.66836;52712.50534;39484.53326;52259.02504;46362.04218;49022.97718;47623.97052;46557.22248;49235.28092;40273.27902;58764.07791;42480.81383;44167.89733;45087.64946;49910.18833;37115.0453;64962.40169;47323.21784;43412.40256;45995.39336
 Tütün ;ADANA;0;0;0;0;0;103.81479;38.23523;0;6.42;0;0;0;0;0;0;0;15;30;15;0;0;0;0;0;0;0;0;0;0;89.262;0;0;0;0;0;0;0;0;0;93.534;91.63;0;0;86.93885;0;5.72551;0.57261;82.73693;55.125;0;0;0;0;0;23.0376;0;0;14;0;0;9.12056;143.574;0;0
