MONTHS;ADANA;ADIYAMAN;AFYON;AĞRI;AKSARAY;AMASYA;ANKARA;ANTALYA;ARDAHAN;ARTVIN;AYDIN;BALIKESIR;BARTIN;BATMAN;BAYBURT;BILECIK;BINGÖL;BITLIS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENIZLI;DIYARBAKIR;DÜZCE;EDIRNE;ELAZIĞ;ERZINCAN;ERZURUM;ESKIŞEHIR;GAZIANTEP;GIRESUN;GÜMÜŞHANE;HAKKARI;HATAY;IĞDIR;ISPARTA;İSTANBUL;İZMIR;K.MARAŞ;KARABÜK;KARAMAN;KARS;KASTAMONU;KAYSERI;KILIS;KIRIKKALE;KIRKLARELI;KIRŞEHIR;KOCAELI;KONYA;KÜTAHYA;MALATYA;MANISA;MARDIN;MERSIN;MUĞLA;MUŞ;NEVŞEHIR;NIĞDE;ORDU;OSMANIYE;RIZE;SAKARYA;SAMSUN;SIIRT;SINOP;SIVAS;ŞANLIURFA;ŞIRNAK;TEKIRDAĞ;TOKAT;TRABZON;TUNCELI;UŞAK;VAN;YALOVA;YOZGAT;ZONGULDAK
2021-08-01;210705.30;8537.24;33320.91;3467.96;17521.38;5714.99;717334.18;136581.08;486.11;5364.48;71331.96;65949.53;2328.80;3000.16;0.00;9473.70;244.44;512.77;12257.11;27636.59;1221351.23;5391.36;25731.46;61263.03;400591.35;19244.97;39483.74;5947.68;22689.15;1290.10;3286.35;93637.34;863633.24;21387.88;6885.85;2994.21;370188.72;7351.49;27926.14;7507219.45;1113517.76;118633.26;52071.41;23110.43;159.53;30719.04;241909.03;8607.42;692.29;11241.91;34764.95;1638152.14;256732.16;39729.69;40071.74;432403.86;93476.59;165429.03;63029.76;102.44;10051.76;6866.16;26119.61;40995.16;6963.18;224133.33;118089.21;5795.01;3395.17;6176.19;10880.01;59816.86;117574.77;3412.85;57497.39;48.73;27595.30;5901.68;21803.33;901.64;78535.66
2021-07-01;181811.84;8353.31;28556.69;2296.32;16250.73;5736.23;720035.84;120384.51;695.24;4135.80;54828.13;57219.58;1553.97;2945.49;0.00;8184.70;374.32;465.65;10821.46;25136.75;926030.80;7312.73;21810.41;80482.52;326936.86;13956.53;35970.54;5873.58;27551.25;1015.89;2642.04;80428.05;721601.57;22931.56;7103.34;2659.05;295877.09;8056.75;37875.81;6745192.12;939326.21;99321.79;56224.48;17107.47;138.13;25786.61;197807.38;7043.46;1212.58;8603.73;20739.63;1340326.67;209774.78;29683.24;25539.19;349861.22;72768.27;162995.93;62211.54;275.78;5174.03;5415.33;24428.77;30671.70;17020.65;367264.15;76111.23;7782.31;2344.72;4594.11;9929.06;47881.63;104425.08;2320.44;71643.03;Ağu.54;27092.32;5627.15;6141.04;562.66;59876.49
2021-06-01;210814.92;10098.56;37106.87;3567.39;16756.22;6415.97;838175.71;178829.51;539.87;4931.15;65591.77;71852.43;1546.34;2633.98;0.00;11284.27;210.54;1163.54;16181.18;27299.30;1239851.60;5374.42;29054.09;65368.30;460188.14;18207.59;37575.08;4889.43;19749.79;2132.75;1957.98;105487.74;912017.46;31887.81;1266.93;3618.42;320753.60;8637.68;50434.40;7950781.09;1125828.90;114943.03;60247.28;23110.77;131.92;53341.60;254701.83;6341.56;2203.85;9940.99;23670.70;1547764.59;273182.69;34777.55;26941.28;477238.05;74592.40;211267.08;72633.56;38.85;7616.55;6803.78;30208.89;29693.16;11102.23;339898.75;144707.66;4988.60;2842.93;7011.03;12006.97;65007.13;128765.23;2689.98;83973.28;19.99;35458.41;5682.56;123410.43;857.83;85732.16
2021-05-01;180829.79;8429.95;31629.74;2270.11;12042.73;5758.92;722891.19;145979.49;360.98;4799.73;65984.50;56268.19;1240.87;2104.25;0.00;10127.51;256.13;217.55;11419.45;30224.71;1171474.34;5330.02;23613.06;36651.99;340315.63;16197.85;26136.86;5221.40;16819.12;1706.49;1139.99;88973.57;737861.08;24627.31;6605.65;3686.28;320027.24;7470.54;38849.22;6550370.97;907055.94;89952.04;50433.90;15393.42;91.09;32059.72;194564.11;4082.81;931.10;10299.73;20517.17;1126047.68;222902.08;29033.16;29486.16;441701.18;60267.38;183784.72;69310.05;65.45;8531.55;5693.76;26267.49;41108.36;26777.61;356419.06;116291.36;8746.15;2658.54;4610.90;13497.66;70352.13;110334.92;1746.95;77982.70;21.23;29006.32;2866.95;46168.41;442.16;42536.74
2021-04-01;190630.30;10739.09;34010.92;2365.98;17960.22;7158.71;851521.70;163868.85;409.22;5413.34;67745.13;66220.05;2392.87;2549.34;0.00;14806.00;204.49;485.73;17168.83;23800.60;1358509.81;6710.27;24913.92;26460.22;375372.29;21251.36;29865.49;5053.94;57385.91;3257.95;2269.20;93939.81;882012.57;31770.97;1074.36;3481.67;260179.12;7012.48;48442.65;7211751.63;1014141.78;119798.15;40990.83;20743.08;53.75;64845.66;245190.32;4636.84;799.37;10444.85;23682.58;1324831.96;277824.37;28229.56;29329.65;511274.98;76691.91;203048.01;60396.74;13.79;8594.45;8150.92;31444.92;37994.59;31283.74;460684.86;94499.59;5799.96;2897.15;5998.11;11974.75;64116.65;112104.35;2149.57;73228.32;0.00;33106.85;4818.56;46620.42;3582.07;28934.53
2021-03-01;197453.12;12898.80;33871.22;3548.58;12297.80;5746.11;794623.64;171912.35;441.70;4652.66;62335.78;66271.79;2022.99;2600.73;0.00;9686.83;463.28;444.18;13508.60;23179.93;1331829.02;8820.33;21329.38;28491.61;348095.05;18636.35;31087.29;5250.34;21032.68;1884.79;3373.11;92601.29;873072.43;28531.85;10854.42;2491.36;290395.67;7878.78;39110.89;7128875.89;938697.42;122970.97;43174.24;29645.58;77.05;18418.46;256069.58;4471.41;2217.27;11337.95;24131.04;1458556.87;281130.55;27016.00;32233.80;488399.68;71572.14;209514.67;60284.18;32.80;7326.29;8706.40;27024.35;25556.75;11341.37;480845.32;122724.79;11113.18;2314.15;7010.63;15907.62;81718.76;110298.96;2681.94;98089.78;50.49;24448.01;5370.95;115614.85;1237.44;41737.79
2021-02-01;166598.19;12106.78;26973.59;3357.60;7832.40;4697.18;652221.09;138688.57;299.59;3621.33;55003.16;56771.84;2546.60;6776.72;0.00;8585.18;226.95;257.89;10481.07;19893.26;1224587.83;6215.36;22227.55;42239.60;320457.73;12638.73;28124.95;3874.95;30733.64;1271.15;1226.03;82605.24;743761.78;25428.00;1749.03;3558.63;172611.11;7538.80;31099.69;6087327.44;881395.80;98099.57;28215.33;17868.31;31.83;31818.11;210467.90;3978.14;682.60;10120.66;19986.87;1273681.36;210807.57;24868.36;25182.34;374612.06;53060.64;176041.34;50433.35;581.96;6885.26;5076.56;21722.78;29619.11;6597.85;443785.51;71785.41;4560.13;2455.94;6397.86;12831.70;63919.47;94364.78;2099.79;131076.79;0.00;22480.57;6202.12;5002.51;2524.01;33371.83
2021-01-01;165269.28;17329.11;25653.90;2601.56;6737.10;5029.45;581124.39;145570.38;141.44;3543.91;53107.54;53395.49;2851.08;4445.28;37.94;6180.68;260.66;760.44;8087.16;21106.88;1141093.56;4902.62;17293.98;23420.06;293468.15;14548.44;25129.91;4601.88;19548.64;2618.89;2133.61;77884.81;668696.87;17155.45;7032.02;3635.98;162040.94;5641.07;31326.18;5708250.90;795688.37;97621.89;29374.21;16856.56;43.23;18382.56;197325.55;3763.51;1408.08;8149.30;18325.34;1104496.69;202061.60;23206.30;26120.01;299542.36;73255.33;181521.85;48983.55;24.17;7453.49;5303.45;24426.07;34760.78;14791.52;504086.73;65865.65;6925.08;3631.13;6127.41;10328.62;65437.55;85544.84;2943.22;119915.45;91.78;20380.29;3948.67;4136.14;620.64;24719.78
2020-12-01;189088.74;9996.96;29106.75;3182.92;12648.33;5571.38;795763.40;141398.26;259.94;4143.74;62457.57;72490.85;2525.13;5787.77;May.36;7562.05;543.96;370.67;9572.93;28825.89;1314033.17;7113.59;23954.02;23309.99;330592.07;16237.00;30736.71;5361.15;22973.09;2273.29;2453.92;97327.11;886036.69;28839.37;3226.60;3471.21;270400.19;7892.72;26618.94;6609480.53;937722.90;94683.37;39015.74;25442.05;44.63;36365.11;261199.83;4482.46;453.35;9657.45;15564.88;1420272.94;237427.65;32047.75;29406.74;477897.31;100287.72;250234.22;65255.34;0.00;5995.53;6090.09;25721.37;17934.83;24685.09;572844.74;79186.85;8175.47;3438.04;7404.20;13826.57;82460.90;97362.62;5603.33;100259.65;0.00;22776.14;4357.41;129197.69;938.04;52696.61
2020-11-01;163227.37;9540.23;29448.95;2770.99;8711.51;4819.47;689540.48;143749.66;327.28;3861.87;74389.99;53867.77;2415.65;6259.39;Oca.81;8956.51;786.27;459.42;8983.71;23288.03;1318100.43;5439.93;20488.24;27804.55;333017.44;15236.15;25303.60;5044.45;13485.28;1504.11;3256.82;86296.39;709232.53;26402.63;1437.26;4210.31;264267.20;7663.08;25102.50;6174552.94;861420.14;73341.20;26398.55;24758.30;49.39;23012.04;211119.63;4472.51;1055.49;6198.79;17805.14;1257178.94;203121.23;25197.99;32092.40;438941.44;88760.43;231344.38;52430.56;64.40;4285.96;6223.71;33090.89;27660.34;18196.25;452659.48;58749.62;6359.78;3850.97;6194.74;12983.98;81258.65;90734.32;6964.46;90880.63;0.00;23012.65;3933.20;104839.17;1434.54;32627.54
2020-10-01;169437.47;12036.00;30426.56;1844.58;13954.31;4906.12;698455.21;122287.44;304.61;4389.00;81640.47;57016.76;2645.92;5655.92;0.00;8942.08;243.80;593.47;10482.00;24060.06;1454593.35;5145.71;19673.28;18461.52;329709.82;15517.27;30434.45;5439.92;18782.54;1661.94;3656.00;87118.11;800725.02;38340.26;900.31;1583.83;223586.77;6546.10;27480.69;6974064.00;900213.36;84969.40;39537.29;25682.48;51.92;19181.40;204116.04;4945.48;725.63;8248.05;19014.78;1324407.94;215163.24;26206.56;33090.96;451733.83;95086.49;211851.31;54801.35;506.00;5157.43;6544.60;26325.48;15897.34;11491.15;500128.61;82584.02;7149.09;3145.45;6075.40;13690.82;75865.12;100755.86;3301.59;81014.51;74.21;24425.77;4987.41;4779.04;1599.24;17960.16
2020-09-01;155988.38;10124.51;26632.02;2999.85;8373.20;4774.60;755757.59;116490.31;335.11;4603.73;65756.67;53838.16;1386.69;3151.94;0.00;9723.89;664.55;236.94;9991.04;19808.07;1273212.32;5049.45;22220.04;28023.40;322919.47;16042.25;26687.87;5336.18;17007.50;2330.08;3399.83;77046.79;760967.81;34496.77;3534.98;2951.59;166666.33;8307.19;30413.45;6379454.23;859396.54;78310.58;34380.20;21609.88;188.98;26787.81;192576.42;5051.85;700.97;10592.86;21364.35;1223394.51;203086.69;25340.52;28336.58;405409.38;90454.93;161038.67;56112.18;608.01;4970.59;6017.72;31917.58;22024.56;21316.99;479994.38;71507.55;5575.79;2180.16;9777.23;10500.50;74807.44;97026.93;1716.42;112334.52;34.94;22547.90;5452.30;6115.02;883.33;21381.46
2020-08-01;140526.13;11809.42;27370.69;2095.25;10716.26;3457.17;573097.16;101876.79;354.89;5256.10;44605.14;41476.14;1286.48;1922.56;0.00;7643.16;351.96;186.54;7979.90;14089.13;861394.05;4232.57;21975.50;20485.13;259885.13;12031.58;22934.89;3782.08;11937.80;1036.22;2936.94;68714.81;604009.57;12272.07;1514.98;2106.60;159095.09;5951.66;27109.29;5139644.00;758311.30;65449.41;22968.34;16724.80;95.21;20631.61;166341.05;4112.63;553.70;7974.49;16486.11;776732.56;156576.87;22247.29;22920.04;317787.66;84836.80;117232.79;49691.06;309.60;2482.12;4498.74;21209.87;10287.94;12222.17;154870.09;50684.61;5616.48;2169.49;6756.83;8814.56;53077.94;75651.61;1579.43;44163.23;Tem.54;17319.62;4317.08;27789.83;744.29;32605.49
2020-07-01;159975.39;10451.39;30471.06;2378.09;10905.90;3822.71;663602.05;116572.32;517.10;4248.13;54415.44;47190.35;2121.46;2615.38;0.00;11019.58;236.07;242.51;9297.14;20981.48;1154154.18;5176.73;30398.77;18125.22;297271.00;14177.51;37539.45;5063.80;6602.65;740.05;3203.14;74341.04;728341.92;18620.90;4933.45;4178.60;209521.97;6627.95;40511.56;5999913.76;869101.48;76700.90;33682.63;18224.13;137.30;26644.39;190053.10;3711.21;548.54;9528.99;17838.84;939776.37;193944.67;26222.02;18810.16;361917.08;80569.76;127509.75;54582.87;115.77;4485.61;5092.77;22058.25;15824.12;15397.42;395152.46;59965.79;4960.92;3601.89;6500.81;11489.81;57362.16;90459.77;2773.31;86941.83;Eyl.82;22875.29;5572.15;61603.74;866.54;54631.68
2020-06-01;168212.27;7846.73;28070.76;3278.62;8447.49;3671.97;673691.59;123148.30;441.10;5487.30;46921.35;51237.72;1573.21;2012.54;0.00;8445.95;177.08;223.76;7770.21;13275.07;929876.02;6281.73;22255.90;16484.39;246100.62;11677.96;22163.33;4247.15;14847.97;1232.48;2540.75;69482.86;647916.84;15853.93;3202.50;2166.17;221344.94;8205.28;42528.55;5373349.59;767012.99;68823.08;23660.33;19323.52;203.02;54237.41;170401.83;4326.16;1495.81;9598.77;16744.81;866903.77;173446.16;31866.96;17203.05;322440.84;70549.25;161044.88;44364.99;328.07;3922.30;4703.63;19328.13;15621.50;7177.12;381377.04;51762.35;4687.58;2125.35;6375.70;14756.97;45806.41;73817.69;2267.19;77072.99;20.15;20114.64;6266.81;4255.68;685.04;53134.11
2020-05-01;118361.15;7962.56;18391.22;1745.68;6129.16;2506.90;548865.13;95783.94;372.53;5184.44;36721.99;47495.26;1522.63;2358.84;0.00;6934.93;146.56;321.66;4918.30;12276.55;574365.47;4715.56;13373.45;11652.09;163434.55;11897.24;20687.62;3978.34;8293.82;937.45;1522.42;47481.57;482972.64;14481.40;7321.77;485.89;167125.53;5049.73;21658.25;3811907.98;587820.23;46647.81;16258.16;12205.07;137.33;37544.74;112790.08;2194.60;431.49;7184.04;11554.99;624843.49;131867.36;14678.61;13474.68;252516.39;47291.12;133872.60;44468.45;332.03;3161.65;3528.15;16094.08;12041.56;5220.67;171703.82;54031.08;6622.54;1133.10;4828.23;10514.59;39120.43;55632.44;1322.02;72065.48;13.May;12492.11;2087.61;41745.75;594.24;48633.82
2020-04-01;111601.53;4819.03;24762.10;755.15;5149.30;3201.30;551060.49;102294.14;124.08;3360.69;41855.76;50208.21;2386.68;682.69;0.00;8706.67;43.40;140.80;6591.12;12025.09;436246.72;4172.38;9835.37;15294.66;164640.89;10020.94;15372.31;3391.95;13852.16;2291.82;1690.59;49045.95;461692.41;19940.84;2199.94;311.95;177860.71;4997.90;23068.11;3648192.89;581142.23;42217.90;25038.29;20823.66;39.15;11597.67;97493.14;2248.55;1280.74;9124.75;10819.13;455167.41;156804.65;12871.58;19457.35;246911.95;51544.57;139130.75;35818.90;600.69;2475.40;4974.81;20336.65;5033.25;16100.13;36016.28;39758.78;3940.29;985.37;6290.22;9266.62;29054.01;55803.85;2012.63;97854.00;Haz.51;14250.16;757.63;3350.81;562.11;55116.29
2020-03-01;151281.56;7436.74;23719.50;670.26;9095.29;3715.32;600632.57;121907.17;225.76;5406.15;55527.00;46590.62;2754.51;1630.32;0.00;8788.74;83.35;405.30;9018.95;8661.62;1097267.92;4272.09;15308.57;27969.26;239918.92;6665.66;43444.49;5158.56;16541.92;2105.76;2380.36;89108.35;607533.57;22494.61;6330.01;0.00;162118.50;6398.59;18519.83;5238862.17;785904.85;72281.70;24719.76;21352.48;93.09;17851.96;156118.12;4284.51;496.83;9817.96;18443.19;1042813.52;167669.89;21215.71;25607.03;323429.37;63389.12;148831.55;43221.91;29.81;4192.06;5405.61;17320.76;12929.35;15848.48;301737.41;61097.65;5882.64;1596.60;4692.23;9113.07;26753.43;80808.74;2188.01;90397.40;26.37;19519.13;870.23;21669.76;867.12;15966.63
2020-02-01;153033.92;7106.58;26203.30;3506.01;6810.46;3452.46;597217.84;114202.43;275.57;4880.39;43005.54;53448.63;2513.11;1520.05;0.00;8345.56;258.16;535.04;9854.92;9749.66;1297457.40;3806.89;19336.13;33675.58;244610.40;11657.74;25357.12;4248.53;9708.06;1959.75;2209.41;85763.47;630528.27;17492.50;1944.92;1478.35;195870.51;5970.94;22163.89;5748264.49;748047.87;73654.76;19839.46;23142.08;47.75;21879.84;180221.34;2290.09;666.94;9590.91;19054.27;1050342.78;175082.10;23983.51;28876.49;309907.82;65082.35;169365.83;46386.21;454.76;4615.37;4646.34;22332.61;26218.34;7971.66;503990.00;56343.87;5522.45;2717.05;5498.69;8313.82;34851.38;84488.82;1683.81;98297.53;Haz.58;19298.67;2619.74;63195.52;902.14;12195.26
2020-01-01;159224.13;6423.36;28834.38;3945.74;9304.96;3935.44;619043.35;119207.89;138.18;4625.08;52866.26;42663.49;2805.57;1497.31;0.00;8060.22;182.08;461.48;9277.57;18306.59;1170526.25;4537.13;24003.46;16630.66;259232.83;14735.05;20351.95;3387.13;12154.34;2129.89;2356.76;89311.69;615856.78;16722.70;2065.84;1862.69;216187.70;4998.62;22654.44;5579186.91;878617.74;78041.45;29834.17;21339.56;63.43;4616.72;162157.68;2280.43;245.72;10593.74;17689.23;1289283.49;170946.54;23430.43;31871.72;271465.63;66081.06;184543.40;45123.74;43.65;4383.80;4930.26;23075.28;25072.19;8568.26;509408.92;63585.23;3987.92;3244.46;5777.97;9807.73;33375.51;88879.47;2681.21;109596.01;Ağu.95;21240.84;3088.66;56408.46;907.04;39837.69
