sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-06;2022-06;2021-08;2022-07;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2023-05
 Tekstil ve Hammaddeleri;KILIS;60.77387;75.33336;102.14126;97.02405;171.31132;186.22313;229.40682;161.5441;153.0282;193.35206;208.33053;52.00459;53.56266;77.61955;61.06395;82.36449;104.86495;10.19553;45.22456;39.25989;68.47706;96.3206;42.62657;117.20682;50.2119;21.16329;124.69893;44.95178;29.14693;45.30676;139.27912;207.42893;95.58779;112.34023;109.98975;41.43754;62.77756;222.78712;46.14373;241.84535;61.28147;139.27912;73.46697;186.39792;86.14212;45.87762;108.64803;385.49116
 Yaş Meyve ve Sebze  ;KILIS;0;0;0;0;87.5502;27.1855;0;0;0;19.87887;21.40472;0;0;0;0;0;0;0;0;0;76.945;0;0;0;7.29477;7.49031;0;0;0;34.92852;127.78346;6.79112;0;0;7.38786;28.62394;4.28077;8.97189;32.36958;0;21.7295;127.78346;34.04831;7.14505;37.24599;12.62593;35.1869;0
 Zeytin ve Zeytinyağı ;KILIS;0;8.418;0;0;0;0;13.02228;0;0;0;4.91056;0;0;29.9805;0;0;0;0;0;30.50954;0;0;0;0;0;25.38524;4.14905;0;0;0;0;0;0;0;0;0;0;0;0;0;0.77085;0;0;0;0;0.58933;0;0.0765
 Çelik;KIRIKKALE;3.2715;0.66465;2.156;0.319;0;0.966;5.196;4.6725;0;10.075;20.7142;3.2;14.6448;1.775;19.79037;2.94;62.47007;0.62502;0;0;246.49758;0;0;0;0;0;0;0;1.6288;6.17948;236.10628;0;0.0089;0;0;4.5;112.54992;82.74669;0;48.34914;195.53228;236.10628;13.72009;155.65916;115.12207;34.335;127.36348;0
 Çimento Cam Seramik ve Toprak Ürünleri;KIRIKKALE;0;0;0;0.027;0;0;0;0;0;0;0;0;0;0;0.0337;2.763;0.12;0.16261;0;0;0;0;0;0;0;0;0;0;0.57945;1.1511;685.90808;0;0;0;80.41601;160.41319;434.94591;519.12961;369.22144;684.63104;792.09263;685.90808;702.1734;545.45596;169.14034;885.26036;0;1.075
 Demir ve Demir Dışı Metaller ;KIRIKKALE;5.92;79.95008;0;5.6318;5.57738;0;0;0;0;2.15;0;0;0.19;75.7368;0.9884;3.645;3;3.13882;0;0;0;0;0;0;0;0;0;0;0.07134;0.53211;0;0;0;0.18;0;0;0.388;95.37621;0;40.6415;0;0;0;0.3809;4.437;0;31.70781;9.70326
 Hazırgiyim ve Konfeksiyon ;KIRIKKALE;0;0;0;0.298;0;0;0;0;0;0.26163;0;94.91874;180.62799;0;0;136.7173;0;0.8728;0;4.04339;0;0;0;85.59836;0;0;0;0;0;3.45881;47.85527;2.42976;0;19.01993;110.42483;65.56983;28.97858;52.8851;45.1906;52.66855;91.30705;47.85527;103.65406;76.53136;53.64568;505.98351;149.3056;0
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;KIRIKKALE;152.11701;93.01466;1.94085;120.935;7.955;12.59865;20.38265;0;256.79425;0;11.62;5.38999;7.59945;16.94;0;5.5799;0;0;50.70793;17.84812;6.37675;60.3486;3.145;42.8738;59.893;0;68.30272;0;118.70797;0;45.7942;1.99027;11.4124;11.80718;32.36925;64.084;0;7.5;0;16.86225;0;45.7942;4.91238;15.19002;1.85;12.028;10.81986;20
 İklimlendirme Sanayii;KIRIKKALE;6.31;9.5;10.096;2.34075;0;29.967;17.53529;18.62;24.97;7.324;52.5938;0.815;6.5225;0;0;8.712;5.491;6.88787;0;6.985;0;0;0;0;0;0;0;0;34.07251;24.69671;18.34884;0;34.5177;0;13.87193;1.6;35.96756;25.87565;27.43831;0;15.98091;18.34884;19.93865;9.81974;0;0.1795;0;0
 Kimyevi Maddeler ve Mamulleri  ;KIRIKKALE;112.35026;292.93706;3.53602;70.2389;96.8334;126.90247;166.33454;82.69329;68.93108;230.80669;64.33697;33.52233;148.44886;77.47101;171.73359;213.61994;193.6696;82.67312;469.73265;143.41433;219.08531;208.55675;50.12119;144.54227;93.67949;69.60415;240.79086;273.64765;171.39387;413.93054;37.08788;257.98593;75.75134;430.71797;103.90239;142.02037;367.24895;71.34222;69.30734;65.46522;188.61057;37.08788;123.8703;175.83283;81.11023;127.53788;76.10541;97.94872
