sector;province;2023-05;2023-04;2023-03;2023-02;2023-01;2022-12;2022-11;2022-10;2022-09;2022-08;2022-07;2022-06;2022-05;2022-04;2022-03;2022-02;2022-01;2021-12;2021-11;2021-10;2021-09;2021-08;2021-07;2021-06;2021-05;2021-04;2021-03;2021-02;2021-01;2020-12;2020-11;2020-10;2020-09;2020-08;2020-07;2020-06;2020-05;2020-04;2020-03;2020-02;2020-01;2019-12;2019-11;2019-10;2019-09;2019-08;2019-07;2019-06;2019-05;2019-04;2019-03;2019-02;2019-01;2018-12;2018-11;2018-10;2018-09;2018-08;2018-07;2018-06;2018-05;2018-04;2018-03;2018-02;2018-01
 Kimyevi Maddeler ve Mamulleri  ;ADANA;49198.33155;47669.36537;41164.10459;48274.08368;50757.21255;44491.54427;39279.81652;47047.12494;58179.69094;65588.86005;68375.01822;71807.9999;60502.63514;61544.98391;65540.72244;49650.56678;46386.79827;51852.10196;48145.51304;40633.48536;47787.32888;47167.99548;41218.14487;41315.93316;39033.23522;39342.58211;42595.19957;33849.09612;25487.15023;32394.25297;40657.79111;23517.50425;24901.83897;23422.81553;22540.4359;27844.52266;19998.52029;24708.89476;28186.10919;22897.63316;24070.52931;27393.0249;21853.06249;27477.12535;25853.22997;21788.80672;25944.16503;22190.07438;30920.15464;28139.94576;28193.79954;28534.8362;26229.8757;26811.15474;29428.29525;31515.9921;29312.0199;26924.77279;27096.05298;25998.77757;28709.75114;28693.59992;30377.45667;23231.17323;24406.60993
 Kuru Meyve ve Mamulleri  ;ADANA;351.46766;260.8196;419.81307;219.80884;368.7636;469.66783;577.51828;324.20219;356.38465;416.33131;117.34932;343.63697;136.41006;419.27001;416.20659;404.15263;274.22032;298.24049;445.71465;328.7642;536.86141;109.24306;106.88344;193.67312;247.82798;146.76225;274.00802;287.19444;302.77934;199.369;328.7642;199.82911;318.49454;54.34267;167.82535;131.03574;186.50413;138.86387;170.77262;446.71004;134.16578;411.36884;306.58076;302.23662;328.08443;88.15177;127.55264;152.71538;274.52771;401.51961;173.11015;429.29475;339.30268;308.99927;292.31336;363.1403;353.59033;175.06572;203.45789;266.20905;418.45691;287.16826;211.22566;379.72217;464.09803
 Madencilik Ürünleri;ADANA;1357.50497;1414.21082;568.17747;2127.18555;355.63673;1097.2454;1493.98776;1965.1505;1945.75802;1285.74551;3447.33257;2534.15521;1455.08523;285.04559;355.21931;1550.82147;2058.3314;848.55296;1202.12865;936.36166;652.00396;276.03486;270.87931;256.55022;2123.54686;433.19071;275.32027;294.77554;456.84698;426.6559;936.36166;557.57468;363.0101;214.79346;410.47904;801.54954;819.08669;1562.71249;1197.04724;953.96445;1048.10792;1128.7297;2862.25557;1850.9385;1724.70325;772.90223;895.71788;1151.44713;2461.70266;909.05698;5957.78608;508.18186;1212.05459;1815.80161;1745.62387;1604.36419;1148.76289;3038.0894;7922.74023;1566.33586;8234.94891;748.88745;8083.3404;2983.62213;3934.60352
 Makine ve Aksamlar?;ADANA;10356.20105;8082.96787;15719.19618;9505.7362;11035.39005;12760.01994;13491.13003;12565.15216;10758.24947;11096.88834;8841.40229;9018.06011;8951.83342;15773.74788;11164.19385;10769.10183;8735.53058;12269.64799;8063.23013;7062.83932;8645.06906;5871.02461;7966.30557;8327.61613;8642.50022;13430.64546;11706.30574;9391.24625;10523.07947;7431.57446;7062.83932;5003.64557;5251.85207;5242.69341;6157.32323;5103.23027;3698.68915;5289.45858;7978.64888;9270.94999;6678.94993;5852.28635;6049.24448;5965.38453;4303.12668;4910.91417;7067.5678;6445.48374;8883.10191;7491.89366;6694.08399;7260.74512;7188.63763;8228.88201;7667.40362;7679.30155;5038.74368;5290.57388;5264.30759;4781.48695;13128.06619;8600.1299;8797.1692;4811.95405;9448.40014
 Meyve Sebze Mamulleri ;ADANA;3436.95733;3433.04738;4667.82601;3049.32901;3883.13863;2851.62978;2899.22463;3373.10528;3764.85709;3872.90415;2337.36636;1783.77474;3878.19668;4469.00895;4112.57553;2383.85653;1931.09676;2088.12599;2456.26912;2167.28024;3211.4992;3954.0878;2730.69299;3334.9189;1868.19766;2429.4493;3085.65203;2476.90632;1614.63001;1767.46228;2167.28024;1310.90916;1844.41442;1744.80953;1802.79962;1937.8171;1063.5842;1478.89677;2104.07672;1814.98976;1694.44604;1309.94007;1676.27817;1763.84237;1235.02561;986.33393;1446.28268;803.73993;1337.10091;2318.8038;1892.52076;1392.71729;1232.53447;868.23094;971.89046;1359.62854;1284.21341;722.00972;1890.586;1752.18324;1746.63834;1509.42412;1694.93022;1281.48324;1203.57925
 Mücevher;ADANA;207.07965;35.75092;54.60866;23.49573;2.6;24.42323;24.02336;12.62354;0.40411;2.3077;43.96159;0.91171;1.57987;3.46988;3.61196;124.2138;3.23795;44.61771;183.45669;156.64317;123.2548;0.35295;1.31637;2.75139;0.28157;4.39349;2.62778;0.43202;0;12.79366;156.64317;0;0.16076;0.03193;0;0.16831;0;5.68596;0;0.74262;2.25874;10.37451;0;0.39497;61.97778;1.64126;41.48335;0;12.99356;0;0.64233;0.60669;7.37896;8.66724;21.61091;0.26232;0.13832;0;0;0.47484;20.41207;0.39031;19.21635;56.7286;1.13788
 Otomotiv Endüstrisi;ADANA;21100.64704;19684.98638;18180.03166;7997.90791;6328.54932;15080.13013;17927.91859;14509.21722;11033.02798;13935.41883;8843.28271;20064.89169;6891.93156;9980.96189;8594.61591;7834.73361;4877.76443;16103.28057;15370.29052;10196.92924;7856.20503;10932.65624;8689.61775;8176.77307;8029.14732;8026.55775;6151.87739;6661.11084;5142.41458;9286.32332;10196.92924;8223.36368;8346.916;5104.86296;3398.0763;6566.77755;4450.59607;1982.5453;4174.92801;5001.20143;3321.23223;4709.14346;14622.01112;13391.17797;7945.37518;17174.13051;20486.7118;5843.94788;14130.30668;8707.07112;6973.80873;9661.63871;8492.90021;22063.8413;16393.29032;26804.43565;7424.4279;32801.90499;12109.67149;8137.75227;10426.0724;8993.35112;7471.20658;5124.17578;4124.73031
 Su Ürünleri ve Hayvansal Mamuller;ADANA;13147.01692;13979.51244;10422.26662;12610.95837;11368.86065;11890.19782;13838.81865;11439.76789;15837.52284;16520.93625;13672.1331;13863.61072;13244.45247;15430.17317;20302.72553;17837.7932;12959.29861;13309.27462;20521.23247;17546.14047;13620.4854;15571.25341;9896.23563;13783.42222;14115.64437;14041.80874;9333.94547;8206.04425;9403.4517;10104.20578;17546.14047;8318.65407;10134.77223;8280.90098;9554.58333;6253.428;4680.63015;7348.7189;10666.5428;11836.52312;10616.1691;7225.97599;10192.27591;9685.75065;11556.75368;8216.02809;9819.3536;7564.29443;11727.67814;9932.68275;10429.35267;9682.35791;12369.55729;11016.63897;12752.30755;14017.47105;14710.09798;10990.19368;12240.05804;10256.55782;10288.19209;11488.70627;11773.21635;6857.78725;8854.15025
 Tekstil ve Hammaddeleri;ADANA;45995.39336;43412.40256;47323.21784;37115.0453;45087.64946;42480.81383;40273.27902;46557.22248;46619.48576;52259.02504;46362.04218;59674.66836;52712.50534;59413.30508;64962.40169;49910.18833;44167.89733;58764.07791;49235.28092;47623.97052;49022.97718;39484.53326;41826.71451;44945.18725;38265.00845;35074.73388;38743.48522;27290.76616;30480.85938;31228.82855;47828.0024;33531.79146;26670.49586;23475.01272;23750.88186;25332.70192;16396.43704;15323.02322;24143.70951;24828.3098;27197.98806;25355.97982;28009.71046;29805.62172;28023.56107;18404.057;26582.02588;19677.37107;31315.9963;30964.72428;29911.04515;21681.7758;24098.17713;27294.35801;29961.82913;33862.58384;30159.67683;29403.50416;28779.47473;26205.06874;29999.18283;31244.22709;30809.74945;24621.52265;24453.33437
 Tütün ;ADANA;0;0;143.574;0;14;0;0;0;18;82.73693;55.125;0;5.72551;0;9.12056;0;0;23.0376;0;0;0;0.57261;0;86.93885;89.262;0;91.63;93.534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;6.42;30;15;0;0;0;0;0;0;0;0;0;38.23523;103.81479;0;0;0;0
