sector;province;2019-01-01;2019-03-01;2019-05-01;2019-07-01;2019-08-01;2019-10-01;2019-12-01;2020-01-01;2020-02-01;2020-03-01;2020-04-01;2020-05-01;2020-06-01;2020-07-01;2020-08-01;2020-09-01;2020-10-01;2020-11-01;2020-12-01;2021-01-01;2021-02-01;2021-03-01;2021-04-01;2021-05-01;2021-06-01;2021-07-01;2021-08-01;2021-09-01;2021-10-01;2021-11-01;2021-12-01;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01
 Makine ve Aksamları;BALIKESIR;2123.26379;2493.31379;3344.07087;110254.7478;3.87701;1951.64985;2845.03006;2647.14761;2167.62703;2615.03402;2765.85736;2446.51904;65984.14402;81941.27527;0.468;2959.9732;3869.60784;3132.40096;2161.03462;430.78851;268.62678;273.57653;410.69513;815.0258;1152.25485;1005.7601;1792.14859;1200.18892;1592.56587;6935.17871;8134.69492;30.67901;37.54062;1897.86613;1246.26416;868.12495;1711.15682;1714.26022;1753.56103;2775.92548;3474.88885;1001.684;0.0884;500.842;1.38708
 Meyve Sebze Mamulleri ;BALIKESIR;919.80052;2785.8477;3865.64978;10992.4243;2027.21744;2931.46605;2762.12615;1063.14275;3443.11851;2758.74707;2772.66226;2612.54977;7128.2626;10499.82054;2847.16358;2810.82094;2735.45415;1773.31082;1767.21574;2510.26193;4674.11106;3734.14591;4496.84443;406.08943;368.77684;487.93058;279.35379;926.56026;737.78569;1481.40089;1237.49907;5948.63176;6580.59393;907.9755;1056.0481;812.48239;855.81086;875.69995;998.31937;744.59994;818.36154;40.40905;10.21983;16.40284;0
 Mobilya.Kağıt ve Orman Ürünleri;BALIKESIR;1221.38732;1398.91973;1105.59869;0;1344.92546;2038.81467;1809.65724;1604.49563;1808.84192;2678.90911;821.30814;539.65055;0;0;1232.76955;1889.46646;2971.96395;1466.53795;805.05611;1.7304;0.1392;2.50613;0.114;4201.94994;4800.83926;3029.971;4381.75674;4693.32729;4310.40862;603.57355;514.5982;1330.14646;1443.32838;4144.91117;5771.92859;3600.01997;8861.91071;7951.74086;6234.22582;4271.06201;4165.137;5366.19898;4076.0675;4527.31552;4844.6739
 Mücevher;BALIKESIR;123.66481;1482.23672;1620.04383;0.17038;1168.8648;1406.96559;0;0;1323.63001;1721.84169;568.96774;679.04265;0.001;0.00001;1448.86255;1510.8288;1021.04487;0;0;3216.51656;4627.99051;4578.13874;4195.17743;0.20542;22.8626;1.719;0.276;4.34281;6.27582;4326.49028;5075.40759;560.35275;1016.65873;0;0;0;0;2.44015;0;4.725;1.47769;2519.3337;1993.00873;2213.19684;1686.23448
 Otomotiv Endüstrisi;BALIKESIR;3847.55435;0;0;0.87086;1143.17145;0;4068.99859;4489.65801;0;0.63797;0;0;1.61553;0.09686;683.71651;0;0;5057.84325;6151.17595;1986.10245;2940.36851;3116.58506;3025.28121;3707.56227;5632.73678;3068.07345;4621.22912;4958.34106;4108.8346;3.01626;9.30894;4635.01762;5991.07117;5068.64075;7743.47377;3889.05508;4879.15206;5869.57348;3566.48072;4374.07091;4395.5094;1049.61498;550.14224;455.6006;847.50357
 Su Ürünleri ve Hayvansal Mamuller;BALIKESIR;22417.17749;5253.81764;5977.47843;8.76955;0;2313.02062;13662.63743;11498.73271;4809.85231;3845.63099;3149.46736;2832.45076;38.20271;79.66436;0;6123.94883;5010.90242;13039.60128;15658.25531;572.54969;1078.97695;1011.14497;1233.60158;4774.22891;4241.86741;3787.84562;3312.91694;4668.22019;3391.43039;5652.53997;3770.00022;8.0997;1.04747;3706.14768;5398.89165;4431.08065;6867.28361;2972.91681;4126.82727;3585.3788;3333.08685;4552.40147;2495.28802;4760.58686;4647.57479
 Süs Bitkileri ve Mam.;BALIKESIR;520.48567;15078.5439;18550.35742;406.78174;3133.09806;15257.51043;1200.16639;612.35555;10905.48675;13593.69976;16523.77802;9556.95499;465.85007;488.03649;4190.34891;12029.9296;13055.87465;971.67014;773.97209;1605.60731;1110.96302;1985.75663;1467.42204;1084.90316;1480.06958;1478.65228;1396.74057;2663.92901;2071.75008;2744.79771;3532.44887;4220.2063;4403.53476;1379.27435;1847.16752;810.4933;1782.69361;1053.32746;1345.76801;3613.19794;1970.01283;0.77444;0.42748;0;3.05242
 Tekstil ve Hammaddeleri;BALIKESIR;236.57387;1468.12763;294.92592;0;9401.91508;2.89049;273.28624;208.68813;388.13517;975.73745;37.28979;28.71602;0;0;10365.81432;0;0;542.69464;408.61063;0;20.78624;0;0;1674.02352;1584.43481;1310.86781;1651.77646;1704.187;1593.1549;1493.83516;2471.18227;2732.05227;3274.89142;3930.75021;3486.86886;3031.82604;2970.01142;3189.86363;4379.98937;2746.82093;2708.94171;4513.03793;4056.67253;3202.25843;3784.65625
 Yaş Meyve ve Sebze  ;BALIKESIR;0;195.29749;38.15343;0;206.39854;150.97548;0;0;138.73375;164.84448;68.9394;102.03913;0;0.40733;375.78952;298.79484;194.73214;0;24;5206.38923;5602.69284;9003.51846;7327.09331;0;0;0;0;0;0;2016.45241;1332.13332;2125.28444;1942.00521;0;0;0;0;0;0;0;0;3896.61888;3092.19004;2772.58986;3503.71124
 Zeytin ve Zeytinyağı ;BALIKESIR;205.22144;0;0;0;452.90298;21.86111;141.78903;174.80264;0;0;36.516;22.1;0;0;223.20284;84.98329;62.4425;63.71106;94.52499;15558.33013;15980.3859;11937.90274;16925.27756;5909.92822;7478.34345;6197.85168;5385.89672;7082.16811;5807.74069;8.693;0;2163.35552;2103.21727;7789.67049;8931.72754;5868.45216;10049.30743;6520.79227;5611.19419;4271.36741;4898.02673;2185.15018;1205.26914;1327.7061;1901.96221
 Çelik;BARTIN;0;63013.77638;54232.08766;100.5507;5.39136;53008.55837;0.6422;5.649;53531.5169;46668.99257;50208.2062;47609.69474;130.04836;175.83349;40.91238;53845.32056;57016.75906;0;0.00633;357.25052;392.19063;554.81405;631.99573;377.08442;356.25802;238.82596;412.01051;71.95682;37.99249;11132.01955;28400.52939;5562.17067;8259.02642;590.63401;376.09612;172.50669;110.50401;377.87876;90.63101;90.50712;480.83709;0;422.73471;0;0
 Çimento Cam Seramik ve Toprak Ürünleri;BARTIN;129.59844;0;24.47374;2533.34011;33415.37409;1.04004;200.75182;109.56171;0.57991;10.39699;0;0.00554;2874.56352;2085.43087;41581.12249;0;2.38272;285.80594;313.28097;0;0;19.1026;0;411.31247;553.69013;355.17283;390.49248;586.29899;327.05802;618.96709;925.01542;19637.15101;13515.30765;800.0936;413.6824;285.02642;967.50427;448.60802;511.29801;546.32924;954.80426;6225.13937;5582.70217;5812.61007;7753.31663
 Demir ve Demir Dışı Metaller ;BARTIN;365.35323;145.40249;241.90608;12.89073;0;136.91829;238.74059;487.21466;158.8113;160.28552;148.30161;160.31502;1.99052;0.24871;2.722;225.78904;310.16705;371.30694;491.71256;78.37117;42.69393;192.93387;96.99713;0;0;0;0;117.86625;100.26153;402.93214;404.35284;449.96704;356.24454;1.20046;0;0;181.02457;361.08569;1417.19501;379.4592;31.10986;13201.58255;23384.7434;15658.24015;12302.17519
 Deri ve Deri Mamulleri ;BARTIN;399.61211;573.61809;638.92996;0.2622;125.57989;373.57603;58.8652;284.24457;312.6618;362.25338;1149.89177;292.1164;1.87174;1.81299;149.2827;431.51431;353.82803;10.60344;326.307;53395.49423;56923.60204;66271.78814;66456.53632;11.80421;115.20246;44.14084;10.74155;110.84131;145.58688;14.66551;35.87769;392.31126;551.16208;279.73495;32.97781;133.21131;55.50753;97.22186;70.12272;63.63609;4160.68924;1049.84665;480.67002;1318.85348;696.59824
 Diğer Sanayi Ürünleri;BARTIN;0;156.16276;929.47596;562.60684;345.78655;543.68487;0;0;491.52923;698.19044;83.22608;0;251.64301;515.90374;406.68664;68.27037;388.67204;0;0;0;0;0;0;56268.18789;71892.4099;57219.57529;65957.32211;83399.48546;69446.29407;44.99501;292.84745;0;0;86129.22286;93197.79992;68531.58559;100438.5819;85469.59796;78405.1298;66827.92051;75334.52318;817.86277;585.38847;627.73204;607.35213
 Elektrik Elektronik;BARTIN;0.63871;0;7;828.69893;511.78832;0;0;0;0;0;0;0;449.77749;565.74525;450.27816;0;0;0;0;157.00699;243.32172;318.37154;224.1653;0;0;2.2601;0;1.32717;24.08928;58972.04399;84259.25515;68.11869;62.568;0;10.84065;1.07205;2.15555;11.45456;0.5735;0.11939;3.105;0.18772;21.63334;0;0
 Gemi ve Yat;BARTIN;3.68568;1.30053;0.03804;227.77158;0;1.48504;0;0;0.15311;0;0;0;78.90432;109.24492;0;0;0.478;0;0;564.62353;405.2047;598.82;632.99169;279.39862;493.88832;423.71196;570.05333;443.537;420.0531;2.68;0.024;62040.3328;68871.70169;631.48219;695.99283;241.01368;605.31055;881.35067;976.76801;322.48886;405.58005;11928.33038;18814.18986;5107.34842;6163.74884
 Halı ;BARTIN;1.12862;0;0;123.302;0;3.78501;0;0.85662;0;0;0;0;1.20447;12.66572;0;0;0;0;0;67.93225;63.25483;69.62877;33.3452;482.02956;633.61298;525.11286;479.23355;539.01259;550.64566;335.61343;617.95618;0.39446;0;555.30704;606.61355;562.65221;528.19984;585.30301;314.53405;232.30777;563.65156;86292.48277;100500.5719;89986.41258;112257.4156
 Hazırgiyim ve Konfeksiyon ;BARTIN;1.94028;1.81037;0;1.40843;0;0.35444;1.15386;3.05219;0;0.17314;0;0;0;2.052;0;0.7657;0;0.51307;3.26183;0;0;0;0;32.63302;24.12839;125.1508;287.10994;705.4201;791.75633;619.75434;515.14155;378.28628;546.14958;442.12976;385.3849;423.66151;337.18306;360.01104;325.66082;670.54229;266.34432;0;1.50634;0;1.689
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;BARTIN;2.20133;3.82529;0;3.23396;0;2.09491;0;23.29217;0.00211;1.42581;0;6.06586;0;44.28664;0;0.70414;0;51.18393;25.69848;0.1622;0;2.108;0;0.50295;0;0;0;0;0.0735;255.56106;91.03167;481.9124;434.84379;27.4383;148.44072;6.95795;88.23387;0;0;0;0;391.0185;440.91986;259.71879;383.18406
 İklimlendirme Sanayii;BARTIN;0;23.9265;1.09163;73.02239;0;0.93388;21.98853;1.85273;0;21.05726;2.3773;1.92685;18.26747;53.70207;0;10.29748;16.00188;4.61344;0;0;0;0;0;0;0;0;0;0;0;0.546;0;101.12953;291.1399;0;0;0;0;1.15;1.31687;1.142;1.91641;458.87064;565.53001;608.16992;526.74136
 Kimyevi Maddeler ve Mamulleri  ;BARTIN;101.0046;3.51714;15.34888;58.032;7.28458;3.16429;105.52659;67.93164;0.31837;3.70069;1.97859;34.13344;0;0;34.95049;0;2.7733;87.73053;60.26892;0;0;0;0;0;0.348;0;0;0;0.08834;0;0;0;0;25.13245;0;0;0.232;2026.09735;0;4.30886;0;192.20494;319.70109;101.03925;175.93546
 Kuru Meyve ve Mamulleri  ;BARTIN;0;50.63424;72.90026;0;2.72335;54.13057;0;0;43.10153;18.97891;48.44442;23.39887;3.96925;2.94481;18.75352;86.37877;85.28829;0;0;0.35899;55.06841;0;0.18006;30.90717;0.84992;0;0.68039;0;23.51065;1.28875;0;0;0;2.45582;2.55496;0.13928;0;0;0.1535;0.70995;0.63735;0;0;0;0
 Madencilik Ürünleri;BARTIN;0;0;0;9.95213;107.28926;0;0;0;0;0;0;0;1.27926;33.87635;29.79944;0.18683;0.049;4.13406;4.84287;32.46715;0;31.27091;139.72456;12.45039;9.82692;53.73831;21.14193;16.3973;18.22751;12.70046;1.97797;0;0;6.78019;21.12679;22.3477;18.40986;0;0.09513;0;0;2.41237;0.087;0;11.76584
 Makine ve Aksamları;BARTIN;0;0;0;22.33434;0;0;0;1.6038;0.2255;0;0;0.27281;3.44108;26.11571;0;0.5536;0.07;2.63449;5.92598;2.7;3.3913;2.82531;0.9831;10.75902;23.99924;23.82933;4.45999;14.12744;3.63512;7.92662;40.09566;0.1064;0.002;10.80839;17.75722;9.31373;24.40149;57.90059;65.2765;0;170.80309;0;0;0;0
 Meyve Sebze Mamulleri ;BARTIN;0;28.46013;0.04876;0;43.57726;0;1.00802;2.48174;1.00683;0;0;0.07746;8.84973;8.39305;0;2.73911;0;1583.91193;1284.66731;78.56604;30.18213;50.50164;40.92098;57.93221;227.80686;35.78473;186.87049;76.70844;85.16635;49.19941;0;0;11.72631;67.00016;120.03597;47.07885;49.3638;3.06176;23.92907;26.18866;29.31472;0;0;0;0.17206
 Mobilya.Kağıt ve Orman Ürünleri;BARTIN;219.64233;7.2262;0.27304;18.62567;0.1781;768.85485;1540.13449;1890.24482;0;0;0.07614;0;0;0;0;544.25226;1467.7209;9.12748;8.05215;0;0;0;0;0;0;0;0.1318;0.43;0;161.55146;222.99631;5.28015;22.97675;0;0;0;0;55.92154;69.08569;42.76451;59.74389;0.227;0;0;6.86382
 Otomotiv Endüstrisi;BARTIN;3.95566;1146.01365;801.47128;30.24863;214.87735;17.15106;7.04025;30.21421;1492.68693;1466.69522;944.30514;1001.11048;17.94579;15.21071;187.09541;14.84875;16.46071;0;0;0;0.60051;4.29212;0;0;21.255;0;0;0;0.045;0;0;68.49502;113.91878;0;0.23931;0;0;0;0;0;0;22.24411;46.38675;0;19.6509
 Su Ürünleri ve Hayvansal Mamuller;BARTIN;0;17.20984;13.33439;4.07418;9.94738;0;0;0;6.4884;10.36786;6.78383;3.20493;51.89331;82.42235;5.94056;0.04412;0;0;0;3.07702;0;4.3461;1.16034;0.77616;2.1986;2.22938;4.41864;25.56082;0.05;0.60003;0;0;0;0.6696;4.51993;6.4;0.55882;0;0;0;0;4.51341;0;0;4.30293
 Süs Bitkileri ve Mam.;BARTIN;0;2.5416;0;531.9066;0;0;0.227;0;0;0;0.09223;0;189.04543;396.38678;0;0;0;3.49118;0;1919.38855;1740.59604;918.34155;1297.94566;306.16069;71.76277;340.6251;751.17729;2.04181;4.86178;47.768;0.223;0;0.3134;0;12.45168;5.8954;1.46876;3.345;32.21086;56.05;124.17532;121.71291;119.11617;93.75646;96.57663
 Tekstil ve Hammaddeleri;BARTIN;0.05068;0.789;0;3362.85729;0;0.80012;0.13955;1.87894;4.74567;0;0;0;2230.47052;2350.6139;0;0.23539;2.02632;0.59669;1.1055;24.80075;3.66704;17.072;21.4568;21.59125;30.68025;21.52594;19.28746;239.21947;357.80315;3.9022;6.25591;0;59.64402;949.26467;1424.37516;1250.60222;476.01285;3.32289;7.797;0;13.9495;0.3;0.3;0;0
 Zeytin ve Zeytinyağı ;BARTIN;0;4.09368;1.95928;0.36;1.60173;0;0;0.00879;0.79754;0.98099;0.33694;0;0.05496;0;0.96718;0.10584;0;2415.65312;2525.1299;0;0;0.21801;0;0;0;0;1.82289;16.26578;4.78315;1146.7767;984.79549;0;2.41178;25.78087;19.28762;17.53904;25.15527;226.46092;298.71832;756.39892;1246.65451;0;0;0;0
 Çelik;BATMAN;0;2171.66631;2749.32718;1156.68592;1370.72967;2.306;0;0;2513.10823;2754.50621;2386.67683;1522.62766;1970.07856;1572.83197;1286.4761;88.9542;29.29616;7.97002;0.05401;0;1.31732;2.66983;0;0.02047;0;0;0;0;1.74;0.54414;0;29.38565;31.25093;0;0;0;0;0;1.432;0;0.096;0;4.579;0;0
 Çimento Cam Seramik ve Toprak Ürünleri;BATMAN;27.5;1.0305;0;2.76131;4.1712;28.85;195.07095;0.41967;0.41914;9.03036;0;0;2.75221;1.29393;0.75933;15.46588;74.76442;12.93336;48.09963;0;0;2.52546;0;2.25803;5.98735;0;2.40992;0.2;0.10187;0;0;0;0;4.31872;0.0447;0;0;0;0;0;0;1443.73614;1454.69425;954.52413;1867.32515
 Demir ve Demir Dışı Metaller ;BATMAN;39.72786;39.2;39.46724;1.93653;58.38782;27.34462;39.93637;63.16867;44.04678;0.18004;0;27.54039;2.7526;0.7435;48.06486;9.05612;67.98402;0.37881;0;2851.08347;2546.604;2022.99124;2392.87369;1240.86954;1546.3446;1553.96851;2328.79762;0;4.35685;0.1075;0.01541;0;0;0;6.05893;0;0.74652;0;0;0;0;23.05972;5.65908;55.92164;59.38586
 Deri ve Deri Mamulleri ;BATMAN;2.91246;0.59032;45.01997;0;74.15847;0.80281;0.37941;0;55.01728;23.57972;26.4578;15.31918;0;0;3.95061;0;1.0701;0;0;0;0;4.57242;1.76292;0;6.25;1.29313;0.963;2080.24792;2291.14803;3.7473;0.4925;0;0;2748.56816;3475.72492;2594.67362;2157.43224;1.52764;3.1625;0;17.574;0;0;0;0
 Diğer Sanayi Ürünleri;BATMAN;0;0;0.93395;0.01046;0;0;0;0;0;0;0;0;0;0;3.13846;0;0;0.35246;0;75.296;65.12888;31.23477;83.44154;65.5;116.74183;108.2013;21.74826;6.72;0;2668.99209;2485.23127;0;1.43423;389.19693;39.94634;0;40.19875;4229.00581;2134.49022;0;2.953;0;0;0;0
 Elektrik Elektronik;BATMAN;1.49507;0;0;54.84953;0;0;0;1.22207;0;0;0;0;89.46539;53.52069;0;44.461;0;47.83344;36.94027;7.16706;2.60446;75.36736;72.67939;0.80667;88.69678;33.75105;55.06832;48.50428;49.45792;0;3.13415;1926.28734;2421.12822;55.08438;7.34354;24.02983;71.11048;69.83661;0;2118.65015;2906.91872;0;0;0;0
 Gemi ve Yat;BATMAN;0;3.99364;12.22974;0;0;0;0;0;0;2.13951;0;0;0;0;0.5912;0;0;748.21269;867.94346;22.7161;0;0;0;0;0;0;0;41.62866;10.69644;74.28052;54.22867;0;0.62387;28.27421;150.08022;126.21654;75.63758;39.51274;34.05094;0;0;0;0;0;0
 Halı ;BATMAN;0;0;0;0;0;0.08628;0;0;0;0;0;0;0;0.15797;0;1.72224;0;234.65883;367.92577;0;0;0;0;6.215;3.5901;3.33;7.56;0;0;9.17547;48.76047;78.13458;23.80761;0;0;0;0.0392;11.55432;7.88643;10.25788;59.4067;0;23.166;0;0
 Hazırgiyim ve Konfeksiyon ;BATMAN;91.31686;0;0;6.30188;0;60.14981;38.27714;165.86745;44.08912;0;0;0.26882;21.94998;7.40073;0;794.06958;696.54377;92.33951;79.18179;1.92124;2.15;2.0785;0;0;71.62266;0;26.134;0;0.07665;0;0;36.63228;6.46672;0;0.00643;0;0;0.06606;0;15.77305;63.66171;2675.9405;2994.04637;2117.15979;3173.24907
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;BATMAN;247.36722;268.20325;242.59872;0;427.37739;79.23267;55.33734;148.58822;84.18302;642.41677;72.62871;1076.57315;2.66;0;457.22476;255.65298;150.77384;672.80766;568.96064;2.77664;15.1869;4.06617;0;0;0;0;0;23.90962;74.6612;0;1.96271;0;0;82.06009;65.39004;12.01999;68.89606;0.19326;0.81531;0;0;0;0;1.8;0
 İklimlendirme Sanayii;BATMAN;47.44174;210.71983;168.64243;0;259.76215;87.68;12.60686;62.9962;126.89874;218.05039;196.19651;244.98719;0;0;175.39658;130.51057;52.09721;0;0;701.61756;1408.28493;15.71496;46.60835;1.10073;0;0;0;2.80856;0;149.5221;7.14172;0;0;0;0;0;0;116.98768;11.67497;0;0;0;0.06287;13.012;0
 Kimyevi Maddeler ve Mamulleri  ;BATMAN;161.63019;18.16442;38.87233;510.73679;34.29145;666.41216;796.30812;86.79592;74.68427;4.91923;54.6959;71.06856;326.20168;492.15919;45.22905;499.72573;626.26324;453.94859;539.66401;236.06162;391.9738;390.57453;246.31359;51.58034;56.80657;648.51291;630.12371;0.75785;0;2.74611;0;52.77918;0;0;171.26799;0;79.16909;0;0;7.26323;43.80498;5.66329;53.75999;26.4928;6.31106
 Kuru Meyve ve Mamulleri  ;BATMAN;4.79777;565.74142;423.55139;136.7883;657.56206;0;19.45199;2.26407;399.50473;158.28767;49.0389;304.76594;156.14395;134.88352;436.21827;20.87353;0;21.73439;106.27241;58.65232;99.67533;493.50043;433.45895;533.68134;397.1485;656.51125;775.82244;556.98936;412.5238;0.414;140.24695;0;0;133.17052;322.3562;297.91104;139.59742;0;3.86725;0;0;0;0.50289;0;0
 Madencilik Ürünleri;BATMAN;241.2877;11.07716;7.19845;1.4722;0;466.33981;331.10902;310.49065;0;0;0;3.00638;0.85543;3.05949;0;344.0809;549.64827;23.27402;40.40409;246.50655;358.57984;120.4655;132.23819;127.01633;81.82004;236.50587;193.10075;650.9659;509.24966;423.54572;285.18114;0;85.28297;761.79082;413.24586;169.72469;167.78029;311.87846;431.24914;151.30728;158.55795;0;0.35081;0;0
 Makine ve Aksamları;BATMAN;698.39212;311.25127;342.13289;0.06;324.92668;125.38834;24.84983;125.88839;230.78505;79.18487;166.43436;235.81087;9.34614;25.12;281.27405;346.46295;0.74451;666.42016;560.62686;0;46.16578;423.40023;437.66546;265.8133;238.39372;344.60341;331.52306;156.31254;159.04246;554.6127;831.80622;61.69566;75.73617;112.0788;125.31434;76.07341;170.4737;746.94559;1022.28298;350.9361;241.55816;1.20346;5.75605;11.1268;50.81888
 Meyve Sebze Mamulleri ;BATMAN;74.8952;159.60514;77.64556;6.8034;126.38673;0;41.28918;21.00579;118.21711;71.33138;0;118.37635;5.35676;0.71736;10.70594;2.345;18.2335;3267.07884;2497.34221;327.65808;275.00891;28.12296;0;0;0;0;0;348.10488;376.02544;108.80246;113.23063;740.73441;932.32733;344.84818;1535.00205;2741.91729;270.94725;175.91734;144.28393;1002.05994;1382.73612;0;0;0;0
 Mobilya.Kağıt ve Orman Ürünleri;BATMAN;483.94146;87.87242;149.0205;0;13.299;1221.15779;331.115;492.2115;27.04958;49.62165;39.94553;28.83487;0;0;55.32298;598.55548;561.10575;1.43266;17.16342;29.7666;82.81915;234.98065;302.96929;390.12572;593.18132;386.22104;350.48327;62.23235;0;249.63389;191.44216;84.01595;37.46897;0;0.18413;0;4.91887;1862.05079;634.47134;86.93243;306.57264;215.07777;158.23605;78.8877;391.3722
 Mücevher;BATMAN;87.175;413.86335;328.40369;0;1092.63068;0;0;0;304.18962;348.92456;80.33971;201.73758;0;0.08756;388.20309;0;2827.3963;0;0;10.379;28.19646;45.75724;46.56755;21.45385;371.10176;2.71769;12.53898;488.62609;396.52998;71.50496;54.62921;237.6228;146.73769;295.13273;268.25532;288.7484;401.94362;0;0;516.86424;421.89412;222.11018;461.89713;162.9373;24.66801
 Otomotiv Endüstrisi;BATMAN;3.69424;200.02022;0;0;0;0;0.672;0;0;0;0;0;0;0;0;0;0;1.764;0;341.93941;712.2803;39.49696;13.54222;43.27721;112.76176;68.13101;55.88244;105.36416;37.5543;401.63541;289.68136;0;0;301.00301;30.63285;63.25;57.51581;349.54593;471.61427;0;0.32261;1130.20681;410.57168;484.59556;344.66368
 Su Ürünleri ve Hayvansal Mamuller;BATMAN;21.78438;0;0;0;0;0;0;0;0;0;0;0;1.40841;5.18684;0;0;0;6.25237;36.9648;2332.10044;3251.701;659.27291;708.46465;590.73161;365.1417;377.60027;275.35658;34.45146;91.57432;281.60843;85.55038;256.73575;274.78155;102.07479;22.3498;44.85324;70.51045;133.11257;8.991;404.23083;361.00275;399.78533;204.3078;47.09806;216.9178
 Tekstil ve Hammaddeleri;BATMAN;1.31225;2.04499;0;80.96771;0;20.20553;0.00202;0.07668;0;0;0;0;85.63295;87.3194;0;0;0;6259.39181;5787.76598;44.65702;36.96211;14.0553;9.55201;6.95086;130.72736;64.57032;0;156.08013;256.33869;44.17162;22.84265;4.3913;15.17293;274.4629;335.26199;136.25867;261.68279;51.8126;102.17853;25;63.97559;1063.84936;484.54408;173.86864;635.39455
 Yaş Meyve ve Sebze  ;BATMAN;0;57.52806;0.462;0;22.38915;0;0;16.31565;16.23238;0;0;0;0;0;16.48415;0;0;0;1.80615;0;0;0;0;0;0;6.82425;233.91554;0;0;382.50283;258.29091;60.99307;119.39121;2116.63519;94.57896;122.84444;92.60873;192.26349;279.25975;155.98985;20.538;0;0;0;0
 Zeytin ve Zeytinyağı ;BATMAN;180.40625;0;0;0;5.028;2785.95582;245.08703;251.98596;0;22.64992;0;33.7235;2.33;1.91823;0;3151.93616;5655.92109;0;0.01182;0.13342;0;18.06416;5.43268;0;0;0;20.97146;0;0;4258.12194;0;82.22672;107.80284;0;0.25838;0.0804;0.1542;321.39451;627.31333;138.03091;87.84654;286.47386;367.86779;261.95017;310.06323
 Madencilik Ürünleri;BAYBURT;0;2512.89228;2026.16076;0;0;73.11039;8.25771;0;1766.33393;1818.19929;988.31712;2498.89698;0.24546;1.55;0;0;0;0;0.28251;4445.28121;6776.71785;0;0;0;0;6.7178;8.71874;0;0;31.70892;37.93405;0;0;1.35057;0;0;0;0;244.02703;0;0.03744;103.49588;24.72288;49.75303;91.13027
 Otomotiv Endüstrisi;BAYBURT;142.5343;0;2.219;0.02586;0;99.88487;76.7933;0;0;0;0;0;3.60774;1.8154;0;0;0;0;0.09836;0;0;2600.72505;2549.33959;2104.25296;2633.9841;2945.4913;3000.16055;0;0;0;0.42066;34.75232;93.71741;0;0;0;5.60851;0;0;571.05351;712.88571;99.34512;123.72266;89.15901;98.43756
 Çelik;BILECIK;0;0;2.219;0;0.08827;2704.66278;0;11.67811;0;0;0;0;0;1.41704;0.0134;4977.91914;3977.69393;0;0.17529;0;0;0;0;0;0;0;0;2705.03576;2415.40469;0;0;22.03607;0;0;0;0;0;5.59329;0;24.7676;0;0.45667;0.0154;0;0
 Çimento Cam Seramik ve Toprak Ürünleri;BILECIK;2320.73963;0;0.00235;0;2360.97034;723.11675;3293.69558;2870.09519;0;0;0;0.02028;0;0;4148.08628;750.13222;1494.06871;0;1.06378;0;0;0;0;0;0;0;0;0;0;7043.98708;2483.87557;0;0;5078.55504;3698.75703;4103.92794;1996.031;0;0;0;12.07332;145.02909;25.72188;0;0
 Demir ve Demir Dışı Metaller ;BILECIK;1580.61517;2937.60505;3455.55205;2.24;214.46636;2.47337;1414.50813;1138.80536;3739.70433;3102.48399;2548.91964;3653.27051;3.51337;13.71136;751.87282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1869.61976;1974.48501;0;0;0;0;4418.60639;4023.9662;0;0;0;0;0;0
 Deri ve Deri Mamulleri ;BILECIK;0.39;2565.88783;878.49623;59.60816;0;0;0;0;1026.97723;2347.21561;2969.82055;677.74212;69.77801;32.93449;0.60545;0;0;1.80569;5.36492;37.94352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3516.43318;5306.02131;0;23.87286;0;18.75525
 Diğer Sanayi Ürünleri;BILECIK;0;0;0;0;0;1.95348;0;0;0;0;6.52069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Elektrik Elektronik;BILECIK;0;0;0;26.94172;0;0;4.75551;0.31535;0;0;0;0;24.71814;55.40557;3.02124;44.21073;0;4318.071;3568.82027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Halı ;BILECIK;0;0.45911;1.88927;0.04832;70.30613;59.73931;0;0.54368;8.67851;3.8728;3.73013;0;1.20002;1.04674;0;0;0;1679.64249;2239.36559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7514.12927;2661.88369;1601.81162;2300.87063
 Hazırgiyim ve Konfeksiyon ;BILECIK;0.926;0;0;9.17528;242.52248;0;126.58395;0.11084;0;0;0;0;0;0;0;0;0;2.13053;2.85189;37.94352;0;0;0;0;0;0;0;0;0;6.58575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.44
